Postcode,School count,Education sector,School number,Name,Town/city,Longitude,Latitude,medianSoldPrice,numberSold
3201,4,Government,8423.0,Carrum Downs Secondary College,Carrum Downs,145.19765800000002,-38.095290999999996,590000.0,364.0
3201,4,Catholic,1909.0,St Joachim's School,CARRUM DOWNS,145.178469,-38.103348,590000.0,364.0
3204,10,Government,3074.0,Ormond Primary School,Ormond,145.033669,-37.907001,1647000.0,59.0
3204,10,Government,4318.0,Bentleigh West Primary School,Bentleigh,145.026767,-37.920584999999996,1647000.0,59.0
3204,10,Government,4366.0,McKinnon Primary School,Ormond,145.052795,-37.908049,1647000.0,59.0
3204,10,Government,4687.0,Tucker Road Bentleigh Primary School,Bentleigh,145.049012,-37.932543,1647000.0,59.0
3204,10,Government,4846.0,Katandra School,Ormond,145.04073799999998,-37.902060999999996,1647000.0,59.0
3204,10,Government,8125.0,McKinnon Secondary College,Mckinnon,145.048545,-37.912203999999996,1647000.0,59.0
3204,10,Independent,1190.0,Kilvington Grammar School,ORMOND,145.041216,-37.899519,1647000.0,59.0
3204,10,Catholic,1212.0,St Kevin's School,ORMOND,145.038799,-37.904399,1647000.0,59.0
3204,10,Catholic,1481.0,Our Lady of the Sacred Heart College,BENTLEIGH,145.039942,-37.925723,1647000.0,59.0
3204,10,Independent,2083.0,Divrei Emineh,ORMOND,145.03508069999998,-37.90360104,1647000.0,59.0
3205,3,Government,2784.0,Montague Continuing Education Centre,South Melbourne,144.949738,-37.830602,1653000.0,108.0
3205,3,Catholic,1941.0,Galilee Regional Catholic Primary School,SOUTH MELBOURNE,144.954811,-37.836158000000005,1653000.0,108.0
3205,3,Independent,2236.0,Youth2Industry College,SOUTH MELBOURNE,144.96641699999998,-37.837469,1653000.0,108.0
3206,4,Government,1181.0,Albert Park Primary School,Albert Park,144.952766,-37.841884,2680000.0,49.0
3206,4,Government,2815.0,Middle Park Primary School,Middle Park,144.957512,-37.847803000000006,2680000.0,49.0
3206,4,Government,5562.0,South Melbourne Park Primary School,Albert Park,144.962696,-37.840538,2680000.0,49.0
3206,4,Government,8889.0,Albert Park College,Albert Park,144.947363,-37.844792,2680000.0,49.0
3207,2,Government,2932.0,Port Melbourne Primary School,Port Melbourne,144.93381200000002,-37.835322,1701000.0,154.0
3207,2,Government,5145.0,Port Phillip Specialist School,Port Melbourne,144.9419729,-37.83678831,1701000.0,154.0
3335,1,Government,919.0,Rockbank Primary School,Rockbank,144.661899,-37.732147,516000.0,47.0
3337,12,Government,430.0,Melton Primary School,Melton,144.58701499999998,-37.680455,480000.0,156.0
3337,12,Government,5036.0,Melton West Primary School,Melton West,144.567489,-37.677483,480000.0,156.0
3337,12,Government,5162.0,Melton Specialist School,Melton,144.56822,-37.68057,480000.0,156.0
3337,12,Government,5206.0,Wedge Park Primary School,Melton West,144.554212,-37.675615,480000.0,156.0
3337,12,Government,5256.0,Kurunjang Primary School,Melton,144.58631499999998,-37.67057,480000.0,156.0
3337,12,Government,5414.0,Toolern Vale and District Primary School,Toolern Vale,144.594231,-37.606275,480000.0,156.0
3337,12,Government,5557.0,Arnolds Creek Primary School,Harkness,144.54285900000002,-37.666358,480000.0,156.0
3337,12,Government,8027.0,Melton Secondary College,Melton,144.56821599999998,-37.681753,480000.0,156.0
3337,12,Government,8718.0,Kurunjang Secondary College,Melton,144.585957,-37.672914,480000.0,156.0
3337,12,Catholic,1739.0,St Dominic's School,MELTON,144.58463500000002,-37.680915,480000.0,156.0
3337,12,Catholic,1811.0,Catholic Regional College,MELTON,144.550411,-37.677246000000004,480000.0,156.0
3337,12,Catholic,1878.0,St Catherine of Siena School,MELTON WEST,144.5501953,-37.67878271,480000.0,156.0
3752,3,Government,1975.0,Morang South Primary School,South Morang,145.0946659,-37.65286941,645000.0,239.0
3752,3,Government,8846.0,The Lakes South Morang College,South Morang,145.075679,-37.634935,645000.0,239.0
